IP_Member,Name_Pool ,Name_Monitor
10.8.9.79:50017,pool_GXP_TIPS_50017,tcp
10.8.9.78:50018,pool_GXP_TIPS_50018,tcp
10.8.9.79:50018,pool_GXP_TIPS_50018,tcp
10.8.9.78:50098,pool_GXP_ZX_50098,agent_mon_tcp_10000
10.8.9.79:50098,pool_GXP_ZX_50098,agent_mon_tcp_10000
10.8.9.78:60006,pool_GXP_ZX_60006,tcp
10.8.9.79:60006,pool_GXP_ZX_60006,tcp
10.8.9.78:60007,pool_GXP_ZX_60007,tcp
10.8.9.79:60007,pool_GXP_ZX_60007,tcp
10.8.9.78:60008,pool_GXP_ZX_60008,tcp
10.8.9.79:60008,pool_GXP_ZX_60008,tcp
10.8.9.78:60009,pool_GXP_ZX_60009,tcp
10.8.9.79:60009,pool_GXP_ZX_60009,tcp
10.8.9.78:60010,pool_GXP_ZX_60010,tcp
10.8.9.79:60010,pool_GXP_ZX_60010,tcp
10.8.9.78:60040,pool_GXP_ZX_60040,agent_mon_tcp_10000
10.8.9.79:60040,pool_GXP_ZX_60040,agent_mon_tcp_10000
10.8.9.78:60043,pool_GXP_ZX_60043,agent_mon_tcp_10000
10.8.9.79:60043,pool_GXP_ZX_60043,agent_mon_tcp_10000
10.8.9.159:8886,pool_WCD_8886,tcp
10.8.9.160:8886,pool_WCD_8886,tcp
10.8.5.71:50012,pool_WL_svs_50012,tcp
10.8.5.72:50012,pool_WL_svs_50012,tcp
10.8.5.43:8099,pool_icpapp_8099,ICP_TCP_8098
10.8.5.44:8099,pool_icpapp_8099,ICP_TCP_8098
10.8.9.144:webcache,pool_mimis_app,tcp
10.8.9.145:webcache,pool_mimis_app,tcp
10.8.5.74:https,pool_wl_ssl_443,tcp
10.8.5.75:https,pool_wl_ssl_443,tcp
10.8.5.74:5444,pool_wl_ssl_444,tcp
10.8.5.74:6444,pool_wl_ssl_444,tcp
10.8.5.75:5444,pool_wl_ssl_444,tcp
10.8.5.75:6444,pool_wl_ssl_444,tcp
10.8.5.74:5444,pool_wl_ssl_5444,tcp
10.8.5.75:5444,pool_wl_ssl_5444,tcp
10.8.5.74:6444,pool_wl_ssl_6444,tcp
